series_id,title,popularity,frequency
B096RC1Q027SBEA,Federal government current expenditures: Subsidies,36,Quarterly
DPIC96,Real Disposable Personal Income,36,Quarterly
LRUN64TTJPQ156S,Infra-Annual Labor Statistics: Unemployment Rate Total: From 15 to 64 Years for Japan,36,Quarterly
M1329AUSM193NNBR,"Yields on Short-Term United States Securities, Three-Six Month Treasury Notes and Certificates, Three Month Treasury Bills for United States",36,Monthly
A576RC1,"Compensation of Employees, Received: Wage and Salary Disbursements",36,Monthly
AREPCPIPCHPT,Consumer Price Inflation for United Arab Emirates,36,Annual
MEDLISPRI12420,"Housing Inventory: Median Listing Price in Austin-Round Rock, TX (CBSA)",36,Monthly
B235RC1A027NBEA,Federal government current tax receipts: Taxes on production and imports: Customs duties,36,Annual
NGMP19100,"Total Gross Domestic Product for Dallas-Fort Worth-Arlington, TX (MSA)",36,Annual
A229RX0A048NBEA,Real Disposable Personal Income: Per Capita,36,Annual
GDPC1CTMLR,"Longer Run FOMC Summary of Economic Projections for the Growth Rate of Real Gross Domestic Product, Central Tendency, Midpoint",36,Not Applicable
NEWLISCOUNJ,Housing Inventory: New Listing Count in New Jersey,36,Monthly
MABMM301EZM189S,Monetary Aggregates and Their Components: Broad Money and Components: M3 for Euro Area (19 Countries),36,Monthly
PCESV,Personal Consumption Expenditures: Services,36,Quarterly
LRAC64TTJPQ156S,Infra-Annual Labor Statistics: Labor Force Participation Rate Total: From 15 to 64 Years for Japan,36,Quarterly
ACTLISCOUNY,Housing Inventory: Active Listing Count in New York,36,Monthly
CCUSMA02CNM618N,Currency Conversions: US Dollar Exchange Rate: Average of Daily Rates: National Currency: USD for China,36,Monthly
PCND,Personal Consumption Expenditures: Nondurable Goods,36,Quarterly
IRLTLT01NLM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Netherlands,36,Monthly
IRSTCB01CAQ156N,Interest Rates: Immediate Rates (< 24 Hours): Central Bank Rates: Total for Canada,36,Quarterly
LCULMN01USQ661S,Labor Compensation: Unit Labor Cost: Manufacturing: Total for United States,35,Quarterly
B087RC1Q027SBEA,Federal government current transfer payments: Government social benefits: to persons,35,Quarterly
BPCCRO1Q156NBEA,Personal Consumption Expenditures Excluding Food and Energy (Chain-Type Price Index),35,Quarterly
MEDDAYONMARFL,Housing Inventory: Median Days on Market in Florida,35,Monthly
MEDLISPRIUS,Housing Inventory: Median Listing Price in the United States,35,Monthly
LRHUTTTTGBM156S,Infra-Annual Labor Statistics: Monthly Unemployment Rate Total: 15 Years or over for United Kingdom,35,Monthly
ACTLISCOU47900,"Housing Inventory: Active Listing Count in Washington-Arlington-Alexandria, DC-VA-MD-WV (CBSA)",35,Monthly
IRLTLT01MXM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Mexico,35,Monthly
ACTLISCOUNJ,Housing Inventory: Active Listing Count in New Jersey,35,Monthly
GGGDTAARA188N,General government gross debt for Argentina,35,Annual
VISASMIHSA,Visa Spending Momentum Index: Headline: United States,35,Monthly
A261RX1Q020SBEA,Real gross domestic income,35,Quarterly
MEDLISPRI19100,"Housing Inventory: Median Listing Price in Dallas-Fort Worth-Arlington, TX (CBSA)",35,Monthly
IR3TIB01CAM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for Canada,35,Monthly
AUSCPIALLQINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for Australia",35,Quarterly
LRAC25MAUSM156S,Infra-Annual Labor Statistics: Labor Force Participation Rate Male: From 25 to 54 Years for United States,35,Monthly
B230RC0Q173SBEA,Population,35,Quarterly
ALPCPI,Per Capita Personal Income in Alabama,35,Annual
ACTLISCOUCT,Housing Inventory: Active Listing Count in Connecticut,35,Monthly
HTRUCKSSA,Motor Vehicle Retail Sales: Heavy Weight Trucks,35,Monthly
LAUTOSA,Motor Vehicle Retail Sales: Domestic and Foreign Autos,35,Monthly
A4002E1A156NBEA,"Shares of gross domestic income: Compensation of employees, paid",35,Annual
NYPCPI,Per Capita Personal Income in New York,35,Annual
CPALCY01CAM661N,Consumer Price Index: All Items: City: Total for Canada,34,Monthly
FEDTARRM,"FOMC Summary of Economic Projections for the Fed Funds Rate, Range, Midpoint",34,Annual
LRAC25FEUSM156S,Infra-Annual Labor Statistics: Labor Force Participation Rate Female: From 25 to 54 Years for United States,34,Monthly
IRLTLT01GRM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Greece,34,Monthly
IR3TIB01AUM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for Australia,34,Monthly
NFCINONFINLEVERAGE,Chicago Fed National Financial Conditions Index Nonfinancial Leveral Subindex,34,"Weekly, Ending Friday"
NGMP14460,"Total Gross Domestic Product for Boston-Cambridge-Newton, MA-NH (MSA)",34,Annual
IR3TIB01CHM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for Switzerland,34,Monthly
TXRQGSP,Real Gross Domestic Product: All Industry Total in Texas,34,Quarterly
G160291A027NBEA,Government current expenditures: Education,34,Annual
GDPCTPI,Gross Domestic Product: Chain-type Price Index,34,Quarterly
ACTLISCOUCO,Housing Inventory: Active Listing Count in Colorado,34,Monthly
TURCPIALLMINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for Turkiye",34,Monthly
VAPGDPC,Value Added by Industry: Construction as a Percentage of GDP,34,Quarterly
BOPGEXP,"Exports of Goods, Balance of Payments Basis",34,Monthly
CPHPTT01EZM659N,Consumer Price Index: Harmonised Prices: All Items: Total for the Euro Area (19 Countries),34,Monthly
TTLFMCU,Total Families with Children under 18 Years Old,34,Annual
RVAMA,Real Value Added by Industry: Manufacturing,34,Quarterly
IEAMGSN,Imports of goods and services,33,Quarterly
DCAFRC1A027NBEA,"Personal consumption expenditures: Clothing, footwear, and related services",33,Annual
DEUCPIALLMINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for Germany",33,Monthly
MEDLISPRI6037,"Housing Inventory: Median Listing Price in Los Angeles County, CA",33,Monthly
IRLTLT01SEM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Sweden,33,Monthly
PINCOME,Personal Income,33,Quarterly
ACTLISCOU34980,"Housing Inventory: Active Listing Count in Nashville-Davidson--Murfreesboro--Franklin, TN (CBSA)",33,Monthly
JPNPCPIPCPPPT,Prices: Consumer Price Index for Japan,33,Annual
BOPGIMP,Imports of Goods: Balance of Payments Basis,33,Monthly
IRLTLT01ZAM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for South Africa,33,Monthly
XTEXVA01CNM667S,International Merchandise Trade Statistics: Exports: Commodities for China,33,Monthly
IMP5520,U.S. Imports of Goods by Customs Basis from Vietnam,33,Monthly
M11007USM322NNBR,"Index of Common Stock Prices, New York Stock Exchange for United States",33,Monthly
USPCE,Personal Consumption Expenditures: Total for United States,33,Annual
CCUSMA02TRA618N,Currency Conversions: US Dollar Exchange Rate: Average of Daily Rates: National Currency: USD for Turkey,33,Annual
A04018GB00LONA286NNBR,"Price of Bar Silver for London, Great Britain",33,Annual
LRUN64TTZAQ156S,Infra-Annual Labor Statistics: Unemployment Rate Total: From 15 to 64 Years for South Africa,33,Quarterly
IEAXGS,Exports of goods and services,33,Quarterly
BBKMLEIX,Brave-Butters-Kelley Leading Index,33,Monthly
GGGDTAGRC188N,General government gross debt for Greece,33,Annual
LABSHPCNA156NRUG,Share of Labour Compensation in GDP at Current National Prices for China,33,Annual
MEDLISPRICA,Housing Inventory: Median Listing Price in California,33,Monthly
FPIC1,Real Private Fixed Investment,33,Quarterly
CPALTT01AUQ657N,Consumer Price Index: All Items: Total for Australia,32,Quarterly
GGGDTAITA188N,General government gross debt for Italy,32,Annual
NGMP33100,"Total Gross Domestic Product for Miami-Fort Lauderdale-West Palm Beach, FL (MSA)",32,Annual
EXPGSCA,Real Exports of Goods and Services,32,Annual
CCUSSP02IDM650N,"Currency Conversions: US Dollar Exchange Rate: Spot, End of Period: National Currency: USD for Indonesia",32,Monthly
GSAVE,Gross Saving,32,Quarterly
PCESVC96,Real Personal Consumption Expenditures: Services,32,Quarterly
Q0892BUSQ156SNBR,Unemployment Rate for United States,32,Quarterly
GEPUPPP,Global Economic Policy Uncertainty Index: PPP-Adjusted GDP,32,Monthly
LDGUST,"Liabilities: Deposits: Government, U.S. Treasury -- General Account",32,"Weekly, Ending Wednesday"
EPUMONETARY,Economic Policy Uncertainty Index: Categorical Index: Monetary policy,32,Monthly
ACTLISCOUUT,Housing Inventory: Active Listing Count in Utah,32,Monthly
CANCPIALLMINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for Canada",32,Monthly
USASLRTCR03MLSAM,Sales: Retail Trade: Car Registration: Passenger Cars for United States,32,Monthly
NGMP12420,"Total Gross Domestic Product for Austin-Round Rock, TX (MSA)",32,Annual
CORESTICKM157SFRBATL,Sticky Price Consumer Price Index less Food and Energy,32,Monthly
DHLCRG3Q086SBEA,Personal consumption expenditures: Services: Health care (chain-type price index),32,Quarterly
C307RC1Q027SBEA,Private fixed investment: Nonresidential: Structures: Manufacturing,32,Quarterly
B935RC1Q027SBEA,Private fixed investment: Nonresidential: Information processing equipment and software: Computers and peripheral equipment,32,Quarterly
ACTLISCOU41860,"Housing Inventory: Active Listing Count in San Francisco-Oakland-Hayward, CA (CBSA)",32,Monthly
G160461A027NBEA,Government current expenditures: Federal: National defense,32,Annual
RGDPNAVEA666NRUG,Real GDP at Constant National Prices for Bolivarian Republic of Venezuela,32,Annual
USABCAGDPBP6,Balance of Payments: Current account balance (credit less debit) for United States,32,Annual
LNS12032195,"Employment Level - Part-Time for Economic Reasons, Slack Work or Business Conditions, All Industries",32,Monthly
USRECM,NBER based Recession Indicators for the United States from the Peak through the Trough,32,Monthly
B075RC1Q027SBEA,Federal government current tax receipts: Taxes on corporate income,31,Quarterly
LRHUTTTTFRM156S,Infra-Annual Labor Statistics: Monthly Unemployment Rate Total: 15 Years or over for France,31,Monthly
NGMP42660,"Total Gross Domestic Product for Seattle-Tacoma-Bellevue, WA (MSA)",31,Annual
A074RC1Q027SBEA,Federal government current tax receipts: Personal current taxes,31,Quarterly
GGGDTAUSA188N,General government gross debt for United States,31,Annual
NGMP12060,"Total Gross Domestic Product for Atlanta-Sandy Springs-Roswell, GA (MSA)",31,Annual
NGMP19820,"Total Gross Domestic Product for Detroit-Warren-Dearborn, MI (MSA)",31,Annual
A180RC1Q027SBEA,Government current expenditures: Interest payments,31,Quarterly
A794RC0Q052SBEA,Personal consumption expenditures per capita,31,Quarterly
EMVMACROBUS,Equity Market Volatility Tracker: Macroeconomic News and Outlook: Business Investment And Sentiment,31,Monthly
PB0000031Q225SBEA,Real final sales to private domestic purchasers,31,Quarterly
ACTLISCOU6059,"Housing Inventory: Active Listing Count in Orange County, CA",31,Monthly
IRLTLT01DKM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Denmark,31,Monthly
GGGDTAGBA188N,General government gross debt for United Kingdom,31,Annual
PCENDC96,Real Personal Consumption Expenditures: Nondurable Goods,31,Monthly
CPALTT01DEM657N,Consumer Price Index: All Items: Total for Germany,31,Monthly
IR3TIB01ZAM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for South Africa,31,Monthly
VAPGDPAFH,"Value Added by Industry: Agriculture, Forestry, Fishing, and Hunting as a Percentage of GDP",31,Quarterly
A08139USA052NNBR,"Laborers' Average Hourly Rate of Wages, Weighted for United States",31,Annual
IRLTLT01JPA156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Japan,31,Annual
ACTLISCOUAZ,Housing Inventory: Active Listing Count in Arizona,31,Monthly
XTEITT01CNM156S,International Trade: Ratio: Exports to Imports: Total for China,31,Monthly
PCDGCC96,Real Personal Consumption Expenditures: Durable Goods,31,Quarterly
RGDPNAARA666NRUG,Real GDP at Constant National Prices for Argentina,31,Annual
IR3TBB01AUQ156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Bank Bills: Total for Australia,31,Quarterly
VISASMIDNSA,Visa Spending Momentum Index: Discretionary: United States,31,Monthly
G160851A027NBEA,Government current expenditures: State and local: Public order and safety: Police,31,Annual
B651RC1Q027SBEA,"Imports of goods: Automotive vehicles, engines, and parts",31,Quarterly
NGANGDPRPCPPPT,Real Gross Domestic Product for Nigeria,31,Annual
IRLTLT01GBQ156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for United Kingdom,31,Quarterly
GNPDEF,Gross National Product: Implicit Price Deflator,31,Quarterly
PCENOW,Nowcast for Real Personal Consumption Expenditures,31,Quarterly
CPALTT01CAM657N,Consumer Price Index: All Items: Total for Canada,31,Monthly
RGDPNAJPA666NRUG,Real GDP at Constant National Prices for Japan,30,Annual
NGMP37980,"Total Gross Domestic Product for Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (MSA)",30,Annual
A019RE1A156NBEA,Shares of gross domestic product: Net exports of goods and services,30,Annual
IR3TIB01MXM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for Mexico,30,Monthly
IMPGSCA,Real Imports of Goods and Services,30,Annual
A229RC0,Disposable Personal Income: Per capita: Current dollars,30,Monthly
DFDHRC1Q027SBEA,Personal consumption expenditures: Durable goods: Furnishings and durable household equipment,30,Quarterly
PCECCA,Real Personal Consumption Expenditures,30,Annual
M08343USM232SNBR,"Real Average Hourly Earnings, Production Workers, Manufacturing for United States",30,Monthly
IDNCPIALLMINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for Indonesia",30,Monthly
ACTLISCOUMA,Housing Inventory: Active Listing Count in Massachusetts,30,Monthly
WANGSP,Gross Domestic Product: All Industry Total in Washington,30,Annual
DMOTRC1Q027SBEA,Personal consumption expenditures: Durable goods: Motor vehicles and parts,30,Quarterly
RTFPNAJPA632NRUG,Total Factor Productivity at Constant National Prices for Japan,30,Annual
Y694RC1Q027SBEA,Gross Domestic Product: Research and Development,30,Quarterly
W987RC1Q027SBEA,Gross private domestic investment: Domestic business,30,Quarterly
EURORECD,OECD based Recession Indicators for Euro Area from the Period following the Peak through the Trough (DISCONTINUED),30,"Daily, 7-Day"
B181RC1Q027SBEA,Exports of agricultural goods,30,Quarterly
A014RY2Q224SBEA,Contributions to percent change in real gross domestic product: Gross private domestic investment: Change in private inventories,30,Quarterly
CSCICP02GBM460S,Consumer Opinion Surveys: Composite Consumer Confidence for United Kingdom,30,Monthly
W986RC1Q027SBEA,Net private saving: Households and institutions,30,Quarterly
DPCCRG3A086NBEA,Personal consumption expenditures excluding food and energy (chain-type price index),30,Annual
LRHUTTTTEZM156S,Harmonised Unemployment - Monthly Rates: Total: All Persons for the Euro Area (19 Countries),30,Monthly
RGDPNARUA666NRUG,Real GDP at Constant National Prices for Russian Federation,30,Annual
CCUSMA02CLM618N,Currency Conversions: US Dollar Exchange Rate: Average of Daily Rates: National Currency: USD for Chile,30,Monthly
MAPCPI,Per Capita Personal Income in Massachusetts,30,Annual
IRSTFR01USM156N,Interest Rates: Immediate Rates (< 24 Hours): Federal Funds Rate: Total for United States,30,Monthly
VNMPCPIPCPPPT,Prices: Consumer Price Index for Vietnam,30,Annual
USEPUFEARINDX,Migration Fear Index for the United States,30,Quarterly
NCNGSP,Gross Domestic Product: All Industry Total in North Carolina,30,Annual
DPCCRC1M027SBEA,Personal consumption expenditures excluding food and energy,29,Monthly
CPALTT01AUQ659N,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for Australia",29,Quarterly
OB000334Q,Real Gross Domestic Product,29,Quarterly
EMVIMMIGRATION,Equity Market Volatility Tracker: Immigration,29,Monthly
GGGDTACAA188N,General government gross debt for Canada,29,Annual
DEUPROINDMISMEI,"Production, Sales, Work Started and Orders: Production Volume: Economic Activity: Industry (Except Construction) for Germany",29,Monthly
DAUTOSA,Motor Vehicle Retail Sales: Domestic Autos,29,Monthly
LRHUTTTTESM156S,Infra-Annual Labor Statistics: Monthly Unemployment Rate Total: 15 Years or over for Spain,29,Monthly
LRHUTTTTITM156S,Infra-Annual Labor Statistics: Monthly Unemployment Rate Total: 15 Years or over for Italy,29,Monthly
CBI,Change in Private Inventories,29,Quarterly
B021RE1A156NBEA,Shares of gross domestic product: Imports of goods and services,29,Annual
NICUR,National Income,29,Quarterly
RTFPNAITA632NRUG,Total Factor Productivity at Constant National Prices for Italy,29,Annual
CONGSP,Gross Domestic Product: All Industry Total in Colorado,29,Annual
CHNPIEATI01GYM,Producer Prices Index: Economic Activities: Industrial Activities: Total for China,29,Monthly
HBFRGDQ188S,Federal Debt Held by Federal Reserve Banks as Percent of Gross Domestic Product,29,Quarterly
CPALTT01USQ659N,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for United States",29,Quarterly
NGMP34980,"Total Gross Domestic Product for Nashville-Davidson--Murfreesboro--Franklin, TN (MSA)",29,Annual
ACTLISCOU15980,"Housing Inventory: Active Listing Count in Cape Coral-Fort Myers, FL (CBSA)",29,Monthly
BRACPIALLMINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for Brazil",29,Monthly
IEABCA,Balance on current account,29,Annual
DSERRG3M086SBEA,Personal consumption expenditures: Services (chain-type price index),29,Monthly
CCUSMA02IDM618N,Currency Conversions: US Dollar Exchange Rate: Average of Daily Rates: National Currency: USD for Indonesia,28,Monthly
NC000334Q,Gross Domestic Product,28,Quarterly
BOPSTB,"Trade Balance: Services, Balance of Payments Basis",28,Monthly
A01028USA558NNBR,Cotton Crop for United States,28,Annual
CCUSMA02JPM618N,Currency Conversions: US Dollar Exchange Rate: Average of Daily Rates: National Currency: USD for Japan,28,Monthly
OECDLOLITOAASTSAM,Leading Indicators OECD: Leading indicators: CLI: Amplitude adjusted for OECD - Total,28,Monthly
WFHCOVIDMATQUESTION,Work from Home Rate,28,Monthly
IR3TCD01KRM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Certificates of Deposit: Total for Korea,28,Monthly
PCNDGC96,Real Personal Consumption Expenditures: Nondurable Goods,28,Quarterly
NGMP29820,"Total Gross Domestic Product for Las Vegas-Henderson-Paradise, NV (MSA)",28,Annual
M1346BUSM156NNBR,"Dividend Yield of Common Stocks on the New York Stock Exchange, Composite Index for United States",28,Monthly
IR3TTS01GBM156N,3-Month or 90-day Rates and Yields: Treasury Securities for the United Kingdom,28,Monthly
Y033RC1Q027SBEA,Gross Private Domestic Investment: Fixed Investment: Nonresidential: Equipment,28,Quarterly
CCUSMA02CAM618N,Currency Conversions: US Dollar Exchange Rate: Average of Daily Rates: National Currency: USD for Canada,28,Monthly
A463RD3Q052SBEA,Profit per unit of real gross value added of nonfinancial corporate business: Corporate profits with IVA and CCAdj (unit profits from current production),28,Quarterly
ACTLISCOUIL,Housing Inventory: Active Listing Count in Illinois,28,Monthly
MEDDAYONMAR19100,"Housing Inventory: Median Days on Market in Dallas-Fort Worth-Arlington, TX (CBSA)",28,Monthly
OHNGSP,Gross Domestic Product: All Industry Total in Ohio,28,Annual
CPALTT01INM657N,Consumer Price Index: All Items: Total for India,28,Monthly
IRSTCI01AUM156N,Interest Rates: Immediate Rates (< 24 Hours): Call Money/Interbank Rate: Total for Australia,28,Monthly
NGMP26420,"Total Gross Domestic Product for Houston-The Woodlands-Sugar Land, TX (MSA)",28,Annual
RGMPUSMP,Total Real Gross Domestic Product for United States Metropolitan Portion,28,Annual
RGDPNATWA666NRUG,Real GDP at Constant National Prices for Taiwan Province of China,28,Annual
G7LOLITOAASTSAM,Leading Indicators OECD: Leading indicators: CLI: Amplitude adjusted for G7,28,Monthly
MEDLISPRIPERSQUFEE6075,"Housing Inventory: Median Listing Price per Square Feet in San Francisco County/city, CA",28,Monthly
IMPCA,U.S. Imports of Goods by Customs Basis from Canada,28,Monthly
DGAMRC1A027NBEA,Personal consumption expenditures: Services: Gambling,28,Annual
CARQGSP,Real Gross Domestic Product: All Industry Total in California,28,Quarterly
MEXCPIALLMINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for Mexico",28,Monthly
ALNGSP,Gross Domestic Product: All Industry Total in Alabama,28,Annual
EA19CPALTT01GYM,Consumer Price Index: All Items: Total: Total for the Euro Area (19 Countries),28,Monthly
IMP0004,U.S. Imports of Goods by Customs Basis from World,28,Monthly
NYRGSP,Real Gross Domestic Product: All Industry Total in New York,28,Annual
ACTLISCOU12099,"Housing Inventory: Active Listing Count in Palm Beach County, FL",28,Monthly
B056RC1A027NBEA,Net corporate dividend payments,27,Annual
M0263AUSM500NNBR,Existing Home Mortgage Applications for United States,27,Monthly
CANGSP,Gross Domestic Product: All Industry Total in California,27,Annual
IRLTLT01PLM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Poland,27,Monthly
PCECTPIMD,"FOMC Summary of Economic Projections for the Personal Consumption Expenditures Inflation Rate, Median",27,Annual
ACTLISCOU38900,"Housing Inventory: Active Listing Count in Portland-Vancouver-Hillsboro, OR-WA (CBSA)",27,Monthly
DPCERG3A086NBEA,Personal Consumption Expenditures: Chain-type Price Index,27,Annual
CANEPUINDXM,Economic Policy Uncertainty Index for Canada,27,Monthly
SEAT653PCPI,"Per Capita Personal Income in Seattle-Tacoma-Bellevue, WA (MSA)",27,Annual
MEDLISPRI12086,"Housing Inventory: Median Listing Price in Miami-Dade County, FL",27,Monthly
MNNGSP,Gross Domestic Product: All Industry Total in Minnesota,27,Annual
CPALTT01BRM659N,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for Brazil",27,Monthly
M318191Q027NBEA,Federal government expenditures: Budget outlays,27,Quarterly
ACTLISCOUTN,Housing Inventory: Active Listing Count in Tennessee,27,Monthly
LRAC64TTFRQ156S,Infra-Annual Labor Statistics: Labor Force Participation Rate Total: From 15 to 64 Years for France,27,Quarterly
IRLTLT01LUM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Luxembourg,27,Monthly
USRECQ,NBER based Recession Indicators for the United States from the Period following the Peak through the Trough,27,Quarterly
USOILGASNGSP,Gross Domestic Product: Oil and Gas Extraction (211) in the United States,27,Annual
CCUSMA02IDA618N,Currency Conversions: US Dollar Exchange Rate: Average of Daily Rates: National Currency: USD for Indonesia,27,Annual
VAPGDPSPI,Value Added by Industry: Private Services-Producing Industries as a Percentage of GDP,27,Quarterly
M13009USM156NNBR,"Discount Rates, Federal Reserve Bank of New York for United States",27,Monthly
NGMP41180,"Total Gross Domestic Product for St. Louis, MO-IL (MSA)",27,Annual
FRACPIALLMINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for France",27,Monthly
NA000349Q,Personal Consumption Expenditures,27,Quarterly
TXNQGSP,Gross Domestic Product: All Industry Total in Texas,27,Quarterly
PCTR,Personal Current Transfer Receipts,27,Monthly
CPALCY01JPM661N,"Consumer Price Index: Total, All Items for Japan",27,Monthly
LRHUTTTTJPM156S,Infra-Annual Labor Statistics: Monthly Unemployment Rate Total: 15 Years or over for Japan,27,Monthly
SPASTT01GBM661N,Financial Market: Share Prices for United Kingdom,27,Monthly
MEDLISPRI36740,"Housing Inventory: Median Listing Price in Orlando-Kissimmee-Sanford, FL (CBSA)",27,Monthly
IRNFAFARUSD,"Gross International Reserves Held by Central Bank for Iran, Islamic Republic of",27,Annual
IRSTCB01RUM156N,Interest Rates: Immediate Rates (< 24 Hours): Central Bank Rates: Total for Russia,27,Monthly
ACTLISCOU49035,"Housing Inventory: Active Listing Count in Salt Lake County, UT",27,Monthly
MINGSP,Gross Domestic Product: All Industry Total in Michigan,27,Annual
A084RC1Q027SBEA,Government current transfer payments,27,Quarterly
NGMP41940,"Total Gross Domestic Product for San Jose-Sunnyvale-Santa Clara, CA (MSA)",27,Annual
DFXARX1M020SBEA,Real personal consumption expenditures: Food,27,Monthly
DPETRC1A027NBEA,"Personal consumption expenditures: Pets, pet products, and related services",27,Annual
CCEUSP01GBM651N,"Currency Conversions: EURO Exchange Rate: Spot, End of Period: EUR: National Currency for United Kingdom",27,Monthly
CBIC1,Change in Real Private Inventories,27,Quarterly
MABMM301AUM189S,Monetary Aggregates and Their Components: Broad Money and Components: M3 for Australia,27,Monthly
NEWLISCOUUS,Housing Inventory: New Listing Count in the United States,27,Monthly
LRACTTTTMXQ156S,Infra-Annual Labor Statistics: Labor Force Participation Rate Total: 15 Years or over for Mexico,27,Quarterly
ACTLISCOU12115,"Housing Inventory: Active Listing Count in Sarasota County, FL",27,Monthly
M04128USM350NNBR,"Consumer Price Index, All Items for United States",26,Monthly
DGDSRG3M086SBEA,Personal consumption expenditures: Goods (chain-type price index),26,Monthly
ACTLISCOUMN,Housing Inventory: Active Listing Count in Minnesota,26,Monthly
IRLTLT01NZM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for New Zealand,26,Monthly
DPCERAM1M225NBEA,Real Personal Consumption Expenditures,26,Monthly
IRSTPI01CAM156N,Interest Rates: Immediate Rates (< 24 Hours): Prime Rates: Total for Canada,26,Monthly
IR3TIB01FRM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for France,26,Monthly
USACPALTT01IXNBM,Consumer Price Index: All Items: Total for United States,26,Monthly
GGNLBAJPA188N,General government net lending/borrowing for Japan,26,Annual
IRQNGDPMOMBD,Crude Oil Production for Iraq,26,Annual
AZNGSP,Gross Domestic Product: All Industry Total in Arizona,26,Annual
A191RI1A225NBEA,Gross Domestic Product: Implicit Price Deflator,26,Annual
SAUNGDPXORPCHPT,Non-Oil Real GDP Growth in Constant Prices for Saudi Arabia,26,Annual
MEDLISPRI45300,"Housing Inventory: Median Listing Price in Tampa-ST. Petersburg-Clearwater, FL (CBSA)",26,Monthly
UKEPUINDXM,Economic Policy Uncertainty Index for United Kingdom,26,Monthly
A229RX0Q048SBEA,Real Disposable Personal Income: Per Capita,26,Quarterly
IRLTLT01IEM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Ireland,26,Monthly
A464RC1Q027SBEA,Nonfinancial corporate business: Profits before tax (without IVA and CCAdj),26,Quarterly
ACTLISCOUGA,Housing Inventory: Active Listing Count in Georgia,26,Monthly
AREPZPIOILBEGUSD,Breakeven Fiscal Oil Price for United Arab Emirates,26,Annual
IRLTLT01NOM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Norway,26,Monthly
A824RE1Q156NBEA,Shares of gross domestic product: Government consumption expenditures and gross investment: Federal: National defense,26,Quarterly
M13050USM156NNBR,"Yields on Municipal Bonds, Twenty Bond Average for United States",26,Monthly
FEDTARRH,"FOMC Summary of Economic Projections for the Fed Funds Rate, Range, High",26,Annual
NAEXKP01INQ652S,National Accounts: GDP by Expenditure: Constant Prices: Gross Domestic Product: Total for India,26,Quarterly
USAGDPDEFAISMEI,National Accounts: National Accounts Deflators: Gross Domestic Product: GDP Deflator for United States,26,Annual
IRSTCI01USM156N,Interest Rates: Immediate Rates (< 24 Hours): Call Money/Interbank Rate: Total for United States,26,Monthly
LCEAMN01JPM661S,Hourly Earnings: Earnings: Economic Activity: Manufacturing: Total Economy for Japan,26,Monthly
USALORSGPNOSTSAM,Composite Leading Indicators: Reference Series (GDP) Normalized for United States,26,Monthly
QATPZPIOILBEGUSD,Breakeven Fiscal Oil Price for Qatar,26,Annual
A229RC0Q052SBEA,Disposable personal income: Per capita,26,Quarterly
