series_id,title,popularity,frequency
LABSHPUSA156NRUG,Share of Labour Compensation in GDP at Current National Prices for United States,57,Annual
IMP4190,U.S. Imports of Goods by Customs Basis from Ireland,56,Monthly
LFWA64TTUSM647S,Infra-Annual Labor Statistics: Working-Age Population Total: From 15 to 64 Years for United States,56,Monthly
AUINSA,Domestic Auto Inventories,56,Monthly
PMSAVE,Personal Saving,56,Monthly
USPHCI,Coincident Economic Activity Index for the United States,56,Monthly
A939RC0A052NBEA,Gross domestic product per capita,56,Annual
A191RI1Q225SBEA,Gross Domestic Product: Implicit Price Deflator,55,Quarterly
GDPC1CTM,"FOMC Summary of Economic Projections for the Growth Rate of Real Gross Domestic Product, Central Tendency, Midpoint",55,Annual
W068RCQ027SBEA,Government total expenditures,55,Quarterly
GCEC1,Real Government Consumption Expenditures and Gross Investment,55,Quarterly
IRSTCI01JPM156N,Interest Rates: Immediate Rates (< 24 Hours): Call Money/Interbank Rate: Total for Japan,55,Monthly
IR3TIB01USM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for United States,54,Monthly
AISRSA,Auto Inventory/Sales Ratio,54,Monthly
CARGSP,Real Gross Domestic Product: All Industry Total in California,54,Annual
Q09084USQ507NNBR,Mortgage Delinquency Rates for United States,54,"Quarterly, End of Quarter"
A053RC1Q027SBEA,National income: Corporate profits before tax (without IVA and CCAdj),54,Quarterly
PCETRIM12M159SFRBDAL,Trimmed Mean PCE Inflation Rate,54,Monthly
IRLTLT01CAM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Canada,54,Monthly
PCEDG,Personal Consumption Expenditures: Durable Goods,54,Monthly
ACTLISCOUCA,Housing Inventory: Active Listing Count in California,54,Monthly
M0892AUSM156SNBR,Unemployment Rate for United States,53,Monthly
PNFIC1,Real Private Nonresidential Fixed Investment,53,Quarterly
IRLTLT01EZM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Euro Area (19 Countries),53,Monthly
MEDLISPRIPERSQUFEEUS,Housing Inventory: Median Listing Price per Square Feet in the United States,53,Monthly
A191RO1Q156NBEA,Real Gross Domestic Product,53,Quarterly
BOPGTB,"Trade Balance: Goods, Balance of Payments Basis",53,Monthly
A939RC0Q052SBEA,Gross domestic product per capita,53,Quarterly
PCECTPI,Personal Consumption Expenditures: Chain-type Price Index,53,Quarterly
PNFI,Private Nonresidential Fixed Investment,53,Quarterly
A191RP1Q027SBEA,Gross Domestic Product,53,Quarterly
USEPUINDXM,Economic Policy Uncertainty Index for United States,52,Monthly
FYGFD,Gross Federal Debt,52,"Annual, Fiscal Year"
IIPUSNETIQ,U.S. Net International Investment Position,52,"Quarterly, End of Period"
CPALTT01USQ657N,Consumer Price Index: All Items: Total for United States,52,Quarterly
RPI,Real Personal Income,52,Monthly
M1109BUSM293NNBR,Dow-Jones Industrial Stock Price Index for United States,52,Monthly
IRLTLT01FRM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for France,52,Monthly
NA000334Q,Gross Domestic Product,52,Quarterly
ACTLISCOU38060,"Housing Inventory: Active Listing Count in Phoenix-Mesa-Scottsdale, AZ (CBSA)",52,Monthly
CSCICP03USM665S,Composite Leading Indicators: Composite Consumer Confidence Amplitude Adjusted for United States,51,Monthly
PCEDGC96,Real Personal Consumption Expenditures: Durable Goods,51,Monthly
TTLHHM156N,Household Estimates,51,Monthly
FGRECPT,Federal Government Current Receipts,51,Quarterly
BA06RC1A027NBEA,"Total wages and salaries, BLS",51,Annual
CHNCPIALLMINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for China",51,Monthly
ACTLISCOU19100,"Housing Inventory: Active Listing Count in Dallas-Fort Worth-Arlington, TX (CBSA)",51,Monthly
RKNANPUSA666NRUG,Capital Stock at Constant National Prices for United States,51,Annual
IRLTLT01AUM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Australia,50,Monthly
RIFSPFFNA,Federal Funds Effective Rate,50,Annual
ACTLISCOU19740,"Housing Inventory: Active Listing Count in Denver-Aurora-Lakewood, CO (CBSA)",50,Monthly
ACTLISCOU12420,"Housing Inventory: Active Listing Count in Austin-Round Rock, TX (CBSA)",50,Monthly
LNS12032194,"Employment Level - Part-Time for Economic Reasons, All Industries",50,Monthly
FEDTARMDLR,"Longer Run FOMC Summary of Economic Projections for the Fed Funds Rate, Median",50,Not Applicable
FCTAX,Federal Government: Tax Receipts on Corporate Income,50,Annual
USRECD,NBER based Recession Indicators for the United States from the Period following the Peak through the Trough,50,"Daily, 7-Day"
EPUTRADE,Economic Policy Uncertainty Index: Categorical Index: Trade policy,50,Monthly
NYNGSP,Gross Domestic Product: All Industry Total in New York,50,Annual
VISASMIDSA,Visa Spending Momentum Index: Discretionary: United States,50,Monthly
LRUN64TTJPM156S,Infra-Annual Labor Statistics: Unemployment Rate Total: From 15 to 64 Years for Japan,50,Monthly
A191RD3A086NBEA,Gross domestic product (implicit price deflator),49,Annual
C307RX1Q020SBEA,Real private fixed investment: Nonresidential: Structures: Manufacturing,49,Quarterly
PRFIC1,Real Private Residential Fixed Investment,49,Quarterly
ACTLISCOU45300,"Housing Inventory: Active Listing Count in Tampa-ST. Petersburg-Clearwater, FL (CBSA)",49,Monthly
IR3TIB01EZM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for Euro Area (19 Countries),49,Monthly
W875RX1,Real personal income excluding current transfer receipts,49,Monthly
IRLTLT01ITM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Italy,48,Monthly
IR3TIB01JPM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for Japan,48,Monthly
A006RE1Q156NBEA,Shares of gross domestic product: Gross private domestic investment,48,Quarterly
CPATAX,Corporate Profits After Tax with Inventory Valuation Adjustment (IVA) and Capital Consumption Adjustment (CCAdj),48,Quarterly
CHNMAINLANDEPU,Economic Policy Uncertainty Index: Mainland Papers for China,48,Monthly
IMPGSC1,Real imports of goods and services,48,Quarterly
GBRCPIALLMINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for United Kingdom",48,Monthly
FDEFX,Federal Government: National Defense Consumption Expenditures and Gross Investment,48,Quarterly
A792RC0Q052SBEA,Personal income per capita,48,Quarterly
SPASTT01USM661N,Financial Market: Share Prices for United States,48,Monthly
ACTLISCOU29820,"Housing Inventory: Active Listing Count in Las Vegas-Henderson-Paradise, NV (CBSA)",47,Monthly
ACTLISCOU14460,"Housing Inventory: Active Listing Count in Boston-Cambridge-Newton, MA-NH (CBSA)",47,Monthly
WLEMUINDXD,Equity Market-related Economic Uncertainty Index,47,"Daily, 7-Day"
GOAI,Gross Output by Industry: All Industries,47,Quarterly
MEDSQUFEEUS,Housing Inventory: Median Home Size in Square Feet in the United States,47,Monthly
JPNCPIALLMINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for Japan",47,Monthly
M09086USM156NNBR,"Automobile Direct Loans, Delinquent 30 Days and Over as Percentage of Number Outstanding for United States",47,"Monthly, End of Month"
LRUNTTTTCAM156S,Infra-Annual Labor Statistics: Unemployment Rate Total: 15 Years or over for Canada,47,Monthly
TOTALNSA,Total Vehicle Sales,47,Monthly
USACPIALLMINMEI,"Consumer Price Indices (CPIs, HICPs), COICOP 1999: Consumer Price Index: Total for United States",46,Monthly
M14062USM027NNBR,Total Gold Reserves of Federal Reserve Banks for United States,46,Monthly
A229RC0A052NBEA,Disposable personal income: Per capita,46,Annual
PRFI,Private Residential Fixed Investment,46,Quarterly
RGDPNACNA666NRUG,Real GDP at Constant National Prices for China,46,Annual
CAPCPI,Per Capita Personal Income in California,46,Annual
IRLTLT01CHM156N,Interest Rates: Long-Term Government Bond Yields: 10-Year: Main (Including Benchmark) for Switzerland,46,Monthly
ACTLISCOU42660,"Housing Inventory: Active Listing Count in Seattle-Tacoma-Bellevue, WA (CBSA)",46,Monthly
ACTLISCOU26420,"Housing Inventory: Active Listing Count in Houston-the Woodlands-Sugar Land, TX (CBSA)",46,Monthly
BBKMGDP,Brave-Butters-Kelley Real Gross Domestic Product,46,Monthly
MEDLISPRIFL,Housing Inventory: Median Listing Price in Florida,46,Monthly
NETFI,"Balance on Current Account, NIPA's",46,Quarterly
EXPJP,U.S. Exports of Goods by F.A.S. Basis to Japan,46,Monthly
ACTLISCOU36740,"Housing Inventory: Active Listing Count in Orlando-Kissimmee-Sanford, FL (CBSA)",45,Monthly
CCUSMA02TRM618N,Currency Conversions: US Dollar Exchange Rate: Average of Daily Rates: National Currency: USD for Turkey,45,Monthly
A679RC1Q027SBEA,Private fixed investment in information processing equipment and software,45,Quarterly
ACTLISCOU12086,"Housing Inventory: Active Listing Count in Miami-Dade County, FL",45,Monthly
CCUSMA02RUM618N,Currency Conversions: US Dollar Exchange Rate: Average of Daily Rates: National Currency: USD for Russia,45,Monthly
W790RC1Q027SBEA,Net domestic investment: Private: Domestic business,45,Quarterly
GDI,Gross Domestic Income,45,Quarterly
EMVOVERALLEMV,Equity Market Volatility Tracker: Overall,45,Monthly
PAYNSA,"All Employees, Total Nonfarm",45,Monthly
IR3TIB01GBM156N,Interest Rates: 3-Month or 90-Day Rates and Yields: Interbank Rates: Total for United Kingdom,45,Monthly
W019RCQ027SBEA,Federal government total expenditures,45,Quarterly
IRSTCB01JPM156N,Interest Rates: Immediate Rates (< 24 Hours): Central Bank Rates: Total for Japan,45,Monthly
GGGDTACNA188N,General government gross debt for China,45,Annual
PSAVE,Personal Saving,45,Quarterly
SAUPZPIOILBEGUSD,Breakeven Fiscal Oil Price for Saudi Arabia,45,Annual
GDPC1MD,"FOMC Summary of Economic Projections for the Growth Rate of Real Gross Domestic Product, Median",45,Annual
ND000334Q,Real Gross Domestic Product,45,Quarterly
TXNGSP,Gross Domestic Product: All Industry Total in Texas,45,Annual
